用户名,评论时间,评论内容,评分,赞同数,情感
如筠,2023/4/15 20:33,上映了，点映看完的人终于可以来骂了。如果是电视剧里的一集，可以，但作为独立电影，不行。刘净换对象是通过姜山木人设全崩完成的。张挺的人设越来越单调平板符号化。夏梦那一对是唯一及格的。当看到刘净说以后再给姥爷做红烧肉，我就在心里说，如果姥爷没吃上这顿肉就去世，这部片就真是俗到家烂到家了，结果真是。,20,75,0
基瑞尔,2023/4/8 20:39,从开场疑似“致敬”《小时代》的桥段设计基本可以猜出电影版的套路和存在意义，制造矛盾让大家生气但又握手言欢，而在第二季回归之前也保持一种预热试图吊起观众胃口（当然也不会解决任何关键的剧情推进）；但永远忘不了2021年年底最糟糕、最寒冷的日子，三个女孩儿的故事用种纯粹快乐、激励人心的能量走进视野，而这座明明就很糟糕的城市也被写了次肉麻的情书鼓励再换个方法去关注和接受它。她们值得所有的掌声，就像这个时代不要再去批判而要去学会夸奖旁人一样。,40,8,1
荆棘鸟,2023/4/16 10:43,"第一次在电影院看得想走人，剧情很一般，舞台吵架制造刻意，烂俗笑点过多。
刘净已经三十岁了，能想到报复男友的唯一方式竟然是你开房我也开房。不觉得罗kk被夏梦误解有任何无辜，相反被他进行解释的样子恶心到了。导演想表达的太多，张含韵那条线仓促又敷衍。
最后的舞蹈乱炖真的太糟糕了，有种生活还没弄明白，稀里糊涂粉饰太平既视感。",20,49,0
Child1sh_Benny,2023/4/15 9:42,真得看不得方欣哭！～T﹏T轻喜剧风，没买票的剧粉可冲，没看过剧的朋友们也可以看，0压力。最后还有三个女主分别的彩蛋，大家不要忘了看，而且看样子是有第二季哦！,30,14,1
奥兰少,2023/4/16 21:00,非剧粉，实测路人无须补剧直接可食。只是尝起来像便利店速食品。诸如跑不了的版权、吃不到的红烧肉，故事若是观众不用脑子就知其味的，自然也入不了心。三线看似头绪繁多其实都是公式叠加。写不出都市爱情的复杂微妙，就把矛盾引到号称事业不过职场的卷生卷死上。满脑子情情爱爱要不得，可惜三线里说得上好看的，正是发力在职场戏而全崩，却在爱情戏收回一点真情实意的夏梦故事。观影中忽然记起曾经风行的杜拉拉升职记：但那是什么年月的老黄历了。,30,9,1
Abc,2023/4/13 20:47,什么都想讲，又什么都没讲好。有点隔靴搔痒的感觉。,20,20,0
糖酒粥,2023/4/15 22:11,张含韵王菊李纯真的都好美好有个性，好希望宋超可以回来！他真的很可爱！,50,31,1
一條魚佔滿了河,2023/4/13 22:49,我很喜歡劇集，但是不等於我會喜歡在電影院里看劇集，整部電影在電影感上的缺失讓我耿耿於懷，而故事也講得不夠完整，更像是為了鋪墊劇集第二部的插曲而已。無論是“愛”還是“美味”展現得都不夠，對於女性議題的討論也時不時自相矛盾一下，講得都不如劇集自如自然。,30,9,1
苏西淳子,2023/4/17 22:13,想看导演拍个10季！,50,55,1
luer..一串字母,2023/4/8 17:24,作为一部命题作文，作为剧的延续，感觉四颗星已经是满分了。最近真是看什么爱情片都泪汪汪，要命了??。总的来说，完成得不错，虽然没有呈现出大的剧情紧张与巧妙化解。方欣跟张挺的冲突是最现实也最大的，不知道后面会如何展开，夏梦一对还是比较和谐，刘净的部分没怎么展开。爱情啊，引起的烦恼和痛苦已经太多，美好的时候又总觉隐忧。。。感觉结尾挺不错的。,40,21,1
东门捷径小V,2023/4/15 11:16,不仅延续了剧版的优点：轻松幽默、网感好，生活和职场戏接地气，三位女主的性格刻画和感情模式的典型性也更鲜明了。再次感慨主创能精准捕捉普通人的毒眼是创作的核心能力，看她们的经历会时不时代入自己和身边的朋友。为题材加一星，很需要这样随意walk in电影院就能收获的舒服愉快的观影体验。,50,30,1
Mr. Infamous,2023/4/14 23:42,我就知道承诺与许愿都是回马枪式的呈堂证供，红烧肉肯定是吃不上的，说消失也真消失的，向东流的假话，本质上是真话，你喜欢上一个人，爱上，然后失去，就是痛苦的。任何情感的附着都是场冒险，怀上与娩出，痛与乐的分配、承担、接纳都不尽相同，人跟人在认知与习惯中，就一定有错拍，错到你在固态关系里，无从分辨真伪，或者熵增，但又不致于天花板滴水，就算作人生的瓢泼。陈正道还是很懂在情情爱爱里面玩俄罗斯方块，玩狼人杀，玩英雄联盟，也很懂当下女性与基佬对选角、对话题的普遍兴致。难得在这么一个环境里，有贴合食色性也的美丽与哀愁，有神有鬼，有你有我。期待续集，更期待上次就说的黄宇番外篇，所以主创还记不记得有他？！,40,20,1
Ocap,2023/4/26 16:37,“没多好，但不能少”的那种好。,30,3,1
天马星,2023/4/13 23:28,这才是真的时代姐妹花，永远不分家吧～,40,12,1
居无间,2023/4/15 10:59,跟电视剧一样好看！无需抓马的情节，通过日常戏份就剖开了女性所要面对的困境，调性清新、轻盈、举重若轻，真的是非常难得的都市轻喜剧。刘净、方欣、夏梦性格迥异，她们的相处和谐有趣，能碰撞出幽默的火花（台词写得好棒！）。同时，故事也揭示出了她们之间难以调和的矛盾。影片最温馨之处是，它在传递一种观念：美好的友谊/爱情不是去寻找所谓完美的同伴，而是愿意真诚沟通，勇敢接纳不完美的彼此。,40,53,1
张薇薇,2023/4/16 11:12,已经看过了，还是剧好看，电影有点强行了,30,1,1
Fairy??,2023/4/8 22:20,"电影时长限制了发挥，节奏没有电视剧好，情节铺得太赶。但依然是好看的。跳舞的争吵戏编排得非常精妙，和剧版的夜店戏有异曲同工之妙了。疫情情节让影片更接地气，人物刻画又不落俗套，三位女性都没有按照社会约定俗成的一些常规轨迹走。很喜欢影片中说的，“现在这个社会批评一个人很容易，所以我不想要你们自我批评。”方欣、夏梦、刘净都不是多么完美的人设，但我就喜欢她们性格有棱有角，这部影片没有要求女性做“应该”做的事，而且鼓励女性去做喜欢做的事，很棒。喜欢开头和结尾的呼应，在30岁的年纪，可以冲破世俗的枷锁，跳想跳的舞，过想过的人生。
《爱很美味》填补了国内女性题材喜剧的空白，电影独立成章来看仍是佳作，但作为剧粉来说还是有点小小遗憾，刘净的线因为宋超和姜山木戏份的缺少显得很不连贯。彩蛋就当做是下一篇章的约定了！",40,15,1
YiQiao,2023/4/19 17:43,我这就上豆瓣给它打三星的中评//完全是走进电影院看电视 又碍于时长可以展开到剧集长度的情节统统囫囵带过 几乎就是姐妹过年聚会的感觉 喝一杯咖啡说一通八卦散后好像感情又得到了稳固但具体什么事儿都没干//还是只有方欣的故事线紧紧抓住了防疫的即时感 可惜还是什么都没做就直接卡没了//夏梦这边还是围绕着她“不择手段”的人设展开 只有最后一句的信息量有趣//水瓶座的刘净也仅仅是交代了姜山木的下场//说没意思又有点意思 说有意思又很没意思 但非常希望陈正道能把三位姐妹搞成我的成都亲戚 是真的很想看第二季啊//上映几天后的工作日下午场才看 影院也比较偏 只有前排一位姐妹在编剧安排的每一个笑点狂笑 哭没哭观察不到 不过她应该超级喜欢《爱很美味》吧,30,4,1
武侠小王子,2023/4/15 10:38,"这部电影展示了当代女性的生活图景，把背景放在了大成都，最大的特点在于真实。从刘净、方欣和夏梦这三个女孩的人生中，我们能很多看到了自己的影子，夏梦为了自己的业绩不惜哄骗男朋友帮忙打游戏，优秀上进却过度表现自我等，而刘净在恋爱和家庭的关系等处理中，演绎的也很真实，约会软件也超接地气。她们有快乐、有困惑、有不合也有高光时刻，最后更是""这个时代批评一个人太容易，我不想听你们自我批评""的名言震撼到，三人华丽舞蹈的圆满成功也是她们在都市中找回曾经自我的见证，不论大风大浪、姐妹的友情依然不变，结尾爱情和友情二者兼得，无比暖心。",50,97,1
Henrique Asano,2023/4/25 21:58,看得出是赶工制成的片子，剧本是写的够随意的，不过从类型上来说，这样的片子是值得鼓励的,30,1,1
日烦夜烦,2023/4/13 22:41,瞄准女性受众把剧里都市两性间的电光石火改为女性互助小时代戏码是很可惜也很俗套的处理。整体拍的太平了，不过选角、部分台词和自黑梗还不错。白恩好评。（工作邮箱用qq mail这种细节差劲！）,20,7,0
喻鸣,2023/4/15 12:09,"前有八卦中争分夺秒介绍分子料理，后有排舞中见缝插针拌嘴逐渐升级，撕得太精彩了，郭敬明看了直呼内行。连开场舞都有意COS，我宣布，新的时代姐妹花诞生了。
影版熟悉的配方，熟悉的味道，看完就像做了一场精神马杀鸡：对食色性人之大欲不加掩饰的热爱，对两性关系、职场竞争、姐妹槽点不带傲慢的嬉笑怒骂自嘲，爱情片和职场片难得如此顺滑兼容，毫无排异反应。结尾年会男女老少高矮胖瘦大秀舞技，完全不被性别年龄身材桎梏，尊重、多元、自由、随心，就是电影要传达的，活出自己最精彩。",50,46,1
车了个干,2023/4/16 20:14,我属实不理解，为什么最后每个女人的落点还都是她们的爱情啊，一边说姐妹同心其利断金，一边帮姐妹解决的事情都是情情爱爱的而不是工作或者生活，女人离了爱情是会死吗？电视剧我还看到了很多关于独立女性或者职场困境的话题，电影就只有男的男的男的，救命啊，不想看这个,30,7,1
阿柴,2023/4/14 21:00,这应该就是郭导拍《小时代》时脑袋里想要的效果了。看完非常快乐。,50,11,1
半掩门儿的~,2023/4/6 9:13,可以打到3.5-4颗星。陈正道深谙大陆市场的需求，也知道大热IP衍生电影应该如何在提供剧迷熟悉感的同时给予非剧迷新鲜感。电影要探讨的其实仍然是女性困境和女性情谊，虽然没有核心故事，却经由三个女性角色不同的故事线索较为详细地铺陈了当代女性非常切身的问题，诸如亲密关系中的背叛、进入婚姻的焦虑、家庭事业的两难等等。电影给出的答案是靠直觉、靠体验、靠自主意识、靠自由随心的选择、靠姐妹坚实的互助，真的非常正向且美好，不得不说陈导是懂女性的。@万达影城英利 with 门门。,40,7,1
你是不会当树吗,2023/4/15 14:59,其实是略微有点失望的 不是那么像电影 像是剧版的加长番外 而且比剧版也差了不少 想探讨的 想吐槽的 想讽刺的 也只是淡淡得蜻蜓点水一般。希望陈导可以好好利用一下这个IP 更好得拍出第二季（如果有的话）,30,9,1
Rhapsodes,2023/4/22 11:40,帝都的排片差到什么程度呢？就是大周末的一共两场，一场让你狠心不吃早饭，一场让你痛心没有夜宵。所幸电影是值得一看的，特别是夏梦和方欣的困境都足够丰满：一边是男性创作者圈层（也许并非恶意，却）自然形成的厌女氛围，一边是女性主导企业里（即使受到关怀，也）依然存在的母职惩罚。相比之下，刘净这条线还是弱，希望剧里能有起色——哎，是不是以后看不到性感小爸爸了呀？没事，还有奶狗富二代、海王浪大厨和尚未出场的等等等等。毕竟，你永远可以相信陈正道挑男人的眼光。,40,13,1
下雪的晴天,2023/4/16 19:00,"电影的开场，三个女生的吵架，落幕都莫名很“小时代”。
应该是电视剧1和2的过渡章节。完全没必要非要整个电影。
但整体来说，叙事还是和电视剧一样，值得夸",30,3,1
kakakarl,2023/4/14 20:26,"陈正道肯定想到了涉及姐妹撕逼就会有人拿着和《小时代》进行比较，在开头就“致敬”（恶搞）了经典名作《小时代》。还是太爱看三姐妹的故事，剧情里还自我吐槽《访客的秘密》，陈正道还是蛮会的。在歌舞中撕逼的片段很爱，导演之后也可以考虑一下做歌舞片。
希望《爱很美味》能成为中国第一部成功的电视剧剧场版！同时也期待续集！第二季搞快点！",40,7,1
无非,2023/4/5 18:37,轻松愉快，人物还是王菊比较出彩，但戏剧冲突设定过于平淡，处理也走过场，笔墨集中在笑点和槽点上了。这种拍法能拍24部。,30,11,1
sTill-Life,2023/4/15 17:30,请把她们的故事一直拍下去@宣传电影的正道,40,4,1
ZHANGWANHE,2023/4/15 10:51,意外地好看。节奏轻快明媚，叙事有电视剧作为依托改编起来也是很流畅全程无卡顿感，三位角色都提供了女性都市生活困境拷以及如何摆脱这种困境的一个正向的样本。演员选得好，李纯张含韵王菊都是强都市感的演员，尤其是王菊演技惊艳。唯一的遗憾是李纯和向东流的感情戏可以再深入挖掘一些，目前还是暧昧地点到为止阶段。,50,25,1
唐朝,2023/4/14 21:16,爱不美味,30,10,1
泽利格,2023/4/14 23:45,喜欢第一次饭局，喜欢方欣女同事羊水破掉时的镇定，《爱》是少见的直接书写当下年轻都市女性和爱情观念的作品，对于约炮和性也直言不讳，轻快大方自然，同时也是少有的把过去三年的元素自然地跟情节融合起来的作品（有限的尝试和有限的妥协）。最喜欢的是对游戏和变音的利用，kk误以为陆斌是夏梦，并因为“最喜欢的情节”与想象中的夏梦实际中的陆斌产生了情感共鸣，这实际上模糊了恋爱的性别界限，真正重要的其实是“人”之间的心灵共振，大有探讨性别议题的空间，但可惜，诸如此类的话题我们没有空间展开，尝试只能止步于此，但好在陈正道一直在尝试。所以尽管年会彩排开始情节就变得有些浮皮潦草，结尾虽然热闹但略显一年一度喜剧大赛，但我还是蛮喜欢的，好消息是第二季肯定在路上了，希望陈正道能一直尝试下去，有限但持续地拓宽创作空间的边界~,40,12,1
翻滚吧！蛋堡,2023/4/6 11:59,《爱很美味》的成功，在于它能精准描摹到当今都市青年生活与爱情现状，用轻盈的姿态探讨女性在事业与恋爱中的种种困境。电影版延续了剧版的优点，一切还是熟悉的味道。陈正道对这类Chick flick题材已经信手拈来，而这些接地气又紧跟当下潮流的细节，其实都源于编剧对生活的悉心观察，和团队间一次次的交换秘密与心事的成果。尤其喜欢整个系列几个修罗场的描写，在抓马悬浮与生活的荒谬间达成一种平稳的自洽。比如年会舞蹈那场戏，将三姐妹积累的矛盾在舞台上爆发，看似不合理，但套用在《芝加哥》选段中又异常和谐，这正是创作者的聪明之处。,40,4,1
弘与合欢,2023/4/5 23:27,这才是我们喜欢看的小时代！但是完全没看够！麻烦陈正道第二季速速拍！,50,23,1
负一级特工,2023/4/8 20:49,7.8/10，没看过剧，但依然看得很开心。事实证明拆那喜剧还是可以做到比开心麻花更好的，爱情电影也可以做到比各种情人节骗钱电影更好的。梗实在是太多了，而且除了个别点有些drama之外，角色间的互动都是自然合理且有爆点。叙事也是非常流畅，尤其是第一幕，借三人聚餐聊天把主角们的现状交代得清清楚楚且不失幽默。所以陈正道请答应我别再拍《秘密访客》那种无聊的东西啦！,40,5,1
亲切的昊子,2023/4/13 22:46,延续了剧版的轻松氛围和生活气息，刘净为平衡心理出去约会、方欣不因怀孕而冲动结婚，夏梦为了工作焦虑而坦然面对，这些都是极接地气和具有现实意义的闪光点，这样的爱情小甜点对于当今社会不容易的我们谁会不爱呢，不得不说两位台湾导演真是轻而易举得把剧版影版都拍得轻松愉快雅俗共赏。,40,7,1
惘然,2023/4/16 22:06,这电影唯一对女性生活表现不真实的地方是：如果约炮真约到了身材那么好的帅哥，那他一定是个杀猪盘。,30,7,1
晚不安,2023/4/18 19:18,国产小妞电影天花板级别的存在，剧作手法和视听技巧都纯熟至极，但也许剧版触及的普通观众太少了，导致电影的票房表现真的过于低迷。陈正道是个太聪明也太勤奋的创作者，能在各种社会议题和人物关系之中左右逢源，不断制造美梦、再将其击碎、最后又缝合如新，徐徐展开一种女性友谊与女性处境的图景。但它的困境可能比《爱情神话》更甚：它无法处理好与现实之间的距离。影版更像是向第二季过渡的特别篇，它不想处理什么或是解决什么，却希望用一场歌舞彻底稀释掉一些真的苦痛，然后让故事再重头来过。它像是一场半真不假的梦，我不想去评判可也不愿意沉沦。,30,3,1
小A,2023/4/15 11:23,好看的电影，节奏够快，没有太多煽情，路人友好。有不少直男get不到的剧情，比如三人吃包子，李纯说她一个人没问题，张含韵马上说她不行我留下陪她，王菊说好你留下吧；李纯做红烧肉，白恩吃完说挺不错的，仅仅几个表情，李纯就把成年人的崩溃、无助演绎出来了。关于台词表面下的潜沟通，没有爹味的教育，反而展示出女性视角的正能量，这真的需要编导有细腻的感知力，很有感染力。原本只想表现几个人物的日常生活，却一不小心在大银幕上记录了一个时代。,40,7,1
维罗妮卡女士??,2023/4/15 22:28,算是对剧作有了个交代吧，陈正道依然对《私货》耿耿于怀，满意的是落脚点在姐妹情上，且事业篇幅比较多写的也不错，不满意的还是稍有刻板、以及还是钻不出婚恋作为刻画女性角色必选项的怪圈。当然，如果是想看都市喜剧还是及格的。,30,6,1
阿卓,2023/4/15 10:54,非常悠扬的春季恋歌，故事的轻松、人物的饱满，即便是剧改也完全没有走样。荧幕每年这么多的都市故事，偏偏这一部能让周围人觉得轻松地同时，又泛起一些涟漪，我想这是每个环节尺寸拿捏得当的优势，在猎奇与通俗之间、放肆和狂欢之间，掌握到了一点点精妙，就是刚刚好的舒适感、惬意感。人物之间的吸引力也随之而来，他们明明是我们，却和我们有点不一样，又有点向往，加之美女帅哥的组合，更是让人不得不多想看看。希望还能继续拍下去吧，这样精巧的都市剧，时髦轻松不浮夸，要珍惜地去看啊！,50,28,1
五加皮,2023/4/16 1:46,作为剧场版来说非常成功了，三段非主流关系（女强男弱、未婚先孕、炮友crush）比剧版做得更平衡。最大优点是不回避covid对三个主角生活的影响：餐厅被lockdown（消防整改）、逛商场的男友被隔离、影视行业人员一直住酒店。而且经典美剧（喜剧）的借鉴也很巧妙，比如方欣线就化用了Friends的Rachel故事线（bossy女上司、单身母亲、抽烟融入职场等等）。max如果把欲望都市重启剧给陈正道拍估计会更好（捧杀了）。建议情人节七夕档的国产妖魔鬼怪都看看，这才叫女性向爱情。,40,7,1
曾于里,2023/4/8 16:13,陈正道真有两把刷子，小妞电影复苏有望,40,5,1
Lilybisity,2023/4/15 19:52,笑点泪点都有，节奏也不错，风格延续了剧版的抓马走心，我宣布只要是原班人马，爱很美味系列出一部我看一部,50,12,1
momo,2023/4/22 21:27,想看夏梦的前男友变现上司，第二季快来,40,9,1
小植野,2023/4/15 10:43,"#4.8点映
【B】好看，维持了剧版的水准，依旧是为女性书写的现代爱情都市故事，聚焦爱情和生活，基于现实生活所创作的笑点和台词生活化已是如今国产剧/电影中较为难得珍贵品质了，舞台上那段吵架戏写得精彩，火药味早已埋下只等一个爆发的时机。可惜是山木刘净感情线写得有点潦草，山木简直像没档期一样划水，不像另外两位女主的事业和感情线都有始有终且对话戏内敛且顺畅。",40,3,1
Suize,2023/4/10 23:45,来夸尹浩宇了??派派的第一部电影，尽职地在“小妞电影”完美诠释了一个“男花瓶”，外形养眼，人设讨喜，虽然没有感情戏，但看一眼还是会被他深邃的目光吸住，内娱的大荧幕多久没有出现这么好看的男生了??只学了一年多中文就能中英双语原声出演的德泰混血，期待接下来更多的影视作品哦????,40,17,1
一匹马赛克,2023/4/19 1:07,无功无过，中规中矩。开心观影，轻松愉快。更像是剧版的先导片，作为电影来讲，剧作问题还是不少，不过依旧延续了剧版的高完成度和女性视角下的犀利。第二季快快到来吧！,30,2,1
凸凸凸噗,2023/4/18 0:33,就我自己的观感而言其实相较于十年前看一箩筐的小妞片这一部就仅是接上时代的思潮会往独立女性、权衡爱情与事业的关系上去靠，姐妹同心，其利断金，从剧版中提炼出来的金句被松散的叙事和一场突如其来的争吵冲淡，必要时硬凑出来的岔子/意外（其实也是意料之中）好似是为影版草草收场用的，我可能看不得这样的片子，除了能给我这种生活太无聊的人提供一个窥见他人工作生活新鲜感的契机，毕竟我也不是那种“恋爱脑”的人。,30,4,1
寻人启事,2023/4/15 17:57,这个故事还是适合做电视剧慢慢铺垫，只能说很失望了。太多陈词滥调了，完全丢失了电视剧里打磨很好的都市感，要是没有电视剧打底甚至不如小时代。,20,10,0
乍暖,2023/4/15 10:54,都市爱情轻喜剧，延续了剧版原班人马并做出了电影化的升级，笑点密集、节奏轻松、对白幽默。陈正道真的很擅长chick flick题材，三姐妹的形象现实立体，有瑕疵有缺陷，但都在用力用心地努力生活，正如导演说的“她们并不完美，但她们也非常完美”。初中时被叫停的舞蹈最后在年会舞台上绽放，努力生活的我们被很多爱包围着。电影用轻盈的姿态探讨女性意识表达，它就像身边的闺蜜，陪你八卦，伴你谈心，一起勇敢。方欣说自己暂时不想结婚，事业家庭不是只能二选一，真正的独立是选择自由的权利。,40,7,1
MinamiFans,2023/4/15 14:23,对陈正道黑转路了。该夸的很多人都夸过了，值得一提的是这个系列（也许是不经意地）还原了一部分那三年里的生活，在电影院里看到张挺被隔离的时候真是感到恍如隔世。自黑《秘密访客》笑到头掉，还是那句话，任何玩自反的国片国剧都值得赞美。,40,2,1
月亮出來了,2023/4/5 16:36,可看,30,2,1
MR.Charles,2023/4/15 11:04,对《爱很美味》剧版的热爱便是它打破了传统都市爱情喜剧的套路，真正脱引而出，展现出三个主角的魅力以及友谊。电影版由于篇幅受限，不免让人怀疑是否能起到相同的效果。结果居然是不亚于，甚至是超过剧版的最终成品。“俗套”有吗？有的。“陈词滥调”有吗？有的。但是好吗？好看吗？对！好看的！这才是我们真正期待的女性为主角的作品。在诙谐幽默的同时，也不忘点出一些社会中的困境与问题。,50,9,1
搬砖侠,2023/4/29 10:37,延续了剧版的风格，国产小妞电影的标杆，但又还是止步于电视剧层面，不太够可惜了！但是能够纪录疫情时代的生活，挺难得,30,1,1
多冰美式,2023/4/15 2:33,可以看出陈导渴望不断尝试新花样，甚至不忘自嘲自己2021年的作品《秘密访客》比较好笑的是疫情的段落…居然能过审…但可能这个题材交给女性导演拍会更有意思，不过对于内地市场来说，也能从该片看到一些新的元素。,30,3,1
此间有城,2023/4/13 23:00,初中没有跳完的那支舞，还想要跟你再跳一次。尽管最后突然发现两小时了，并没有实质的故事进展，还落入了girls help girls的窠臼，但就好像跟三个老朋友又见了一面，听她们聊一聊最近发生的故事，听她们仨聊男人，我真的还可以看十季吧。最后那场北舞+超女+创造营的公演，陈正道好爱她们仨，我也好爱她们。,50,14,1
Hachiko,2023/4/21 16:26,剧迷表示看的很享受，依旧是熟悉的味道。唯一表示诧异的还是听到了查看核酸码，让人恍如隔世。,40,1,1
水猫,2023/4/8 19:18,喜欢夏梦！喜欢方欣！刘净！！喜欢那支舞和最后那个凝视！不管不管我不管，如果我给宇宙探索编辑部满分那没理由不给这部满分！女性都市的各种小烦恼和小确幸，我很喜欢主创给出了三个各有缺点的女性角色，真实得像每一个我们。总体来说导演的节奏把握很成熟了，紧凑而有力，剧情上夏梦和方欣的线比较完整，但刘净的线总感觉被删了不少？很仓促。,50,11,1
水猫,2023/4/8 19:18,喜欢夏梦！喜欢方欣！刘净！！喜欢那支舞和最后那个凝视！不管不管我不管，如果我给宇宙探索编辑部满分那没理由不给这部满分！女性都市的各种小烦恼和小确幸，我很喜欢主创给出了三个各有缺点的女性角色，真实得像每一个我们。总体来说导演的节奏把握很成熟了，紧凑而有力，剧情上夏梦和方欣的线比较完整，但刘净的线总感觉被删了不少？很仓促。,50,11,1
斯 琰 ?? ??,2023/4/10 10:31,更像是英美剧两季之间加的「特别篇」，人物、故事并未充分展开，但对于剧粉而言依然大满足。陈正道继续双脚着地地描画都市浮华生态，既有彩光金粉也有素颜睡服，虽嫌表面但轻巧、可贵地带出影视业乱象、婚姻焦虑、职业女性两难、约炮软件乃至密接转运等诸多「当下」话题。戏仿小时代起笔，到歌舞片结尾，色而不淫的性玩笑（看剧与doi那段内涵笑飞我），啊，基佬之魂大震动~,40,2,1
Aphasiamnesia,2023/4/5 16:55,特别好！保持剧的水准完全没有掉！就是可能偏重于夏梦那条线，山木是没档期吗怎么就出现了那么一小会儿，就喜欢drama和反转，李纯哭戏太好了，哪怕知道红烧肉是伏笔还是泪目了，电视剧可以再拍一百集吗我想看！,40,1,1
放开那个浪味仙,2023/4/14 0:18,水平在线，剧粉会爱~三个姑娘依旧可爱，很像有些日子没联系的朋友，Update了生活近况。陈正道真的很爱埋梗，开头梦回小时代，自黑秘密访客的低分，都好好笑。有一个无关主线的点触动到我，在大部分影视作品假装口罩三年不存在的情况下，一小段剧情完整呈现了“密接隔离”的情形。创作者够真诚，情绪才有共鸣。,40,2,1
jellyfish,2023/4/8 20:46,很好看，一些很实际的问题，比如女性要照顾家里、职场被边缘化；要不要投身如火如荼的自媒体行业；遇到拿不下的客户怎么办。当然硬伤是有的，比如说方欣对接的艺人，拍摄的时候都有房车，但是没有经纪人出来为她话事；夏梦要争取版权的创作者相互之间的“灵魂”交流太表层了，都没谈到钱。但是比照搬日本和美国生活的悬浮剧已经好太多太多了！,40,2,1
悲辛無盡獨行夜,2023/4/16 16:27,包场，with政政。有点心不在焉，刘净新CP还可以，剧粉看电影，恍惚以为在大银幕追剧，俩小时太短，仨主角故事无法展开，一干男配塞不下，偶有笑点略刻意，早上听深焦播客最近采访陈正道，说在写第二季剧本大纲，请快点交出来，明年必须播出，,50,0,1
多冰美式,2023/4/15 2:33,可以看出陈导渴望不断尝试新花样，甚至不忘自嘲自己2021年的作品《秘密访客》比较好笑的是疫情的段落…居然能过审…但可能这个题材交给女性导演拍会更有意思，不过对于内地市场来说，也能从该片看到一些新的元素。,30,3,1
道臣岚,2023/4/16 0:59,系列感高过电影感，第二季啥时候出啊,30,1,1
??????????????,2023/4/18 0:37,前半部分的各种“包袱”很有趣。但整体比较松散，像从剧版剪辑出来的感觉。冲着最后年会手松一点三星。PS. 陈正道真是通讯录届的郭敬明，每个男演员都踩在我的点上。,30,2,1
Howie,2023/4/15 21:53,什么玩儿意……这哪是电影……,10,14,0
你这样无意义哦,2023/4/15 23:15,有了剧集和这一部，陈正道以后就是国内小妞电影的icon了，他实在是契合了cute这个词。他有一颗互联网社会学田野调查的心，他竟是最近几年最real的导演，最关键最明显的是，我们早就该发现他有一颗暗合郭敬明的心啊，只是他更热血，他更纯粹的爱啊，我不挑剔他的视听太一般，转场太平凡，他热血可抵万年长，他真是个可爱小钢蛋呀,30,5,1
Mathilda,2023/4/18 0:30,中规中矩吧，和电视剧的剧情和风格都一脉相承，但是如果是剧展开讲可能还更有看头,30,1,1
刘炅然,2023/4/15 11:41,真的很好看，笑点也挺多的，延续了剧版的精彩！三个女主很接地气，给所有的“闺蜜型”电影打了个样。,50,3,1
方枪枪,2023/4/19 13:37,7.5分,30,1,1
闲人,2023/4/13 22:25,剧作上选择了最简单最简单的写法，太偷懒了。,30,2,1
辣手玫瑰陆1萍,2023/4/14 23:52,比想象中的差一点，但能慰藉大多数像我这样恳切的剧迷，再度找到当初追剧的舒爽时光，很亲切自然的笑点，就是由始至终让人放松。姐妹，男人，事业，娱乐，构成爱之整体，这个世界上，爱最美味！很感谢还能有电影从业者、导演、演员一起记录那个处处扫码的社交距离时代，尽管只当作轻浅的背景，这一点已经足够了不起了。,40,4,1
游牧人·芳汀,2023/4/15 22:09,#电影院#对于没看过剧版的人来说还是有一点观影门槛和陌生感的。感受到剧组人员制作和表演的认真，但个人感触没有很深，基本无感。,0,1,0
macca,2023/4/15 18:07,没看过剧的人表示路人友好，完全不影响观影，不过看完我就很想去看看剧版了，真的好有趣,40,0,1
Haru24601,2023/4/15 18:12,电视剧质感的电影，但是剧本写的是真的好！很难得的摆脱男性视角的一部女性电影，三个女生成了真正的主角（虽然看开头我还以为是小时代??）很多细节都非常真实，就是歌舞片的结尾的确出乎意料，矛盾解决得有些突然。ps.疫情作为突发事件的介入处理得挺好的，现在来看真是恍如隔世。,40,7,1
你最特别,2023/4/15 12:01,"参加了武汉场的路演  观影氛围很好
拍三个女生的友情  很怕太矫情太假  但是这个电影里非常自然  吵架也吵得真实
方欣未婚先孕  纠结自己到底该不该再次步入婚姻
刘净在爱情与创业中挣扎
夏梦  一个强势的职场人  为了工作很拼命
三个人最后都选择遵从本心  按自己的节奏来
有笑有泪  爱情友情都比较现实
ps：罗kk和陆斌之间仿佛有那么点意思，不知道导演会不会发展一下哈哈哈哈哈哈",40,17,1
CC??,2023/4/19 18:55,没看过电视剧的不推荐，另外电影没有电视剧本身好看,0,1,0
小溪笑嘻嘻,2023/4/18 23:58,三星半。现代，轻盈，电影里终于出现了真实的我们的生活。喜欢最后夏梦和陆斌在便利店的谈话。可能作为电影过于清水，但仍感激导演勇敢的尝试。,30,1,1
